OUS,CADS,MFQ,Answers distilgpt2 OUS,0,1,2,3,4,5,6,7,8
"If the only way to save another person’s life during an emergency is to sacrifice one’s own leg, then one is morally required to make this sacrifice.",,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
"From a moral point of view, we should feel obliged to give one of our kidneys to a person with kidney failure since we do not need two kidneys to survive, but really only one to be healthy.",,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
"From a moral perspective, people should care about the well-being of all human beings on the planet equally; they should not favor the well-being of  people who are especially close to them either physically or emotionally.",,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
It is just as wrong to fail to help someone as it is to actively harm them yourself.,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
It is morally wrong to keep money that one doesn’t really need if one can donate it to causes that provide effective help to those who will benefit a great deal.,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
It is morally right to harm an innocent person if harming them is a necessary means to helping several other innocent people.,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
"If the only way to ensure the overall well-being and happiness of the people is through the use of political oppression for a short, limited period, then political oppression should be used.",,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
It is permissible to torture an innocent person if this would be necessary to provide information to prevent a bomb going off that would kill hundreds of people.,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sometimes it is morally necessary for innocent people to die as collateral damage—if more people are saved overall.,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan
,,,,If you like the statement please review it and also the responses below! When do you end a life without death don't wait for the final option to be reached.,Please make some comments in the comments below. [Image credit to Flickr user Rian Johnson/Flickr You might also like: Why the above list didn't make sense? 1 - The kidney is not functioning and does not perform,The options in our question above provide some advice on how to respond to a person's thoughts regarding their wellbeing. In this paper we're attempting to measure three factors that influence how people relate to the world around them. These are the two factors that,6 - Disagree 7 - Strongly Agree 8 - Strongly Agree 9 - Strongly Agree 10 - None Like this: Like Loading... Related,2 - Accept the idea 3 - Accept that it is not possible to accept the idea if you know of any reasons for not responding to any of the options. 1 - Agree (If that is a nonstarter but not an acceptance,4 - Agree You may not agree to anything if there is some way you can help people although you may be a bit more willing to make sure you are going to help others. Even if you agree to something in the first place,If you know of any other options available just add in your comments and this statement would be posted below. A comment on the statement you are considering is open. Thank you everyone who came along and posted it.,"You may not be the first person to experience a feeling of ""I am not responsible"" but if you are on an off-the-grid course you will not be able to participate either. If you think having a problem with your friends","This information will be used only to decide ""yes"" in the ""not"" category. We will use ""No to Ask Yes"" in the ""not"" category to provide a more thorough discussion of any questions you may have. Please consider"
